               Date/Time,                              EPC,               X_loc,   Y_loc,   Count
   17/11/2014 4:14:50 PM, 494354442D5331342D545241592D3542,                  44,    -135,      12
   17/11/2014 4:14:50 PM, 494354442D5331342D545241592D3641,                 -25,    -131,       9
   17/11/2014 4:14:50 PM, 494354442D5331342D545241592D3642,                 -80,     -96,      31
   17/11/2014 4:14:55 PM, 494354442D5331342D545241592D3141,                  -3,    -105,      53
   17/11/2014 4:14:55 PM, 494354442D5331342D545241592D3142,                 -22,     -98,      49
   17/11/2014 4:14:55 PM, 494354442D5331342D545241592D3241,                   0,     -64,       1
   17/11/2014 4:14:55 PM, 494354442D5331342D545241592D3242,                  34,     -62,      56
   17/11/2014 4:14:55 PM, 494354442D5331342D545241592D3341,                  -5,    -150,      10
   17/11/2014 4:14:55 PM, 494354442D5331342D545241592D3342,                 -54,    -168,       5
   17/11/2014 4:14:55 PM, 494354442D5331342D545241592D3542,                  50,    -130,       8
   17/11/2014 4:14:55 PM, 494354442D5331342D545241592D3641,                 -25,    -138,       9
   17/11/2014 4:14:55 PM, 494354442D5331342D545241592D3642,                 -77,     -88,      31
   17/11/2014 4:14:55 PM, 494354442D5331342D545241592D3241,                   0,     -64,       1
   17/11/2014 4:15:00 PM, 494354442D5331342D545241592D3141,                  -6,    -100,      54
   17/11/2014 4:15:00 PM, 494354442D5331342D545241592D3142,                 -22,    -102,      52
   17/11/2014 4:15:00 PM, 494354442D5331342D545241592D3242,                  47,     -57,      51
   17/11/2014 4:15:00 PM, 494354442D5331342D545241592D3341,                   9,    -108,       9
   17/11/2014 4:15:00 PM, 494354442D5331342D545241592D3342,                 -68,    -163,       4
   17/11/2014 4:15:00 PM, 494354442D5331342D545241592D3542,                  80,    -119,       5
   17/11/2014 4:15:00 PM, 494354442D5331342D545241592D3641,                   0,    -169,       3
   17/11/2014 4:15:00 PM, 494354442D5331342D545241592D3642,                 -71,     -86,      32
   17/11/2014 4:15:02 PM,         300833B2DDD906C000000000,                -135,    -135,       1
   17/11/2014 4:15:05 PM, 494354442D5331342D545241592D3141,                  -6,    -104,      58
   17/11/2014 4:15:05 PM, 494354442D5331342D545241592D3142,                 -21,    -107,      56
   17/11/2014 4:15:05 PM, 494354442D5331342D545241592D3242,                  39,     -50,      55
   17/11/2014 4:15:05 PM, 494354442D5331342D545241592D3341,                   9,    -108,       9
   17/11/2014 4:15:05 PM, 494354442D5331342D545241592D3342,                 -60,    -145,       6
   17/11/2014 4:15:05 PM, 494354442D5331342D545241592D3542,                  72,    -105,       8
   17/11/2014 4:15:05 PM, 494354442D5331342D545241592D3641,                   0,    -169,       3
   17/11/2014 4:15:05 PM, 494354442D5331342D545241592D3642,                 -78,     -89,      26
   17/11/2014 4:15:05 PM,         300833B2DDD906C000000000,                -135,    -135,       1
