               Date/Time,                              EPC,               X_loc,   Y_loc,   Count
   17/11/2014 4:14:31 PM, 494354442D5331342D545241592D3242,                  44,     -45,       1
   17/11/2014 4:14:31 PM, 494354442D5331342D545241592D3142,                  44,     -45,       1
   17/11/2014 4:14:31 PM, 494354442D5331342D545241592D3141,                  44,     -45,       1
   17/11/2014 4:14:31 PM, 494354442D5331342D545241592D3642,                   0,       0,       1
   17/11/2014 4:14:32 PM, 494354442D5331342D545241592D3542,                  89,     -90,       1
   17/11/2014 4:14:32 PM, 494354442D5331342D545241592D3341,                   0,    -190,       1
   17/11/2014 4:14:33 PM, 494354442D5331342D545241592D3342,                   0,    -190,       1
   17/11/2014 4:14:34 PM, 494354442D5331342D545241592D3241,                   0,     -64,       1
   17/11/2014 4:14:35 PM, 494354442D5331342D545241592D3141,                  -3,     -97,      20
   17/11/2014 4:14:35 PM, 494354442D5331342D545241592D3142,                 -20,    -106,      17
   17/11/2014 4:14:35 PM, 494354442D5331342D545241592D3241,                   0,     -64,       1
   17/11/2014 4:14:35 PM, 494354442D5331342D545241592D3242,                  46,     -47,      17
   17/11/2014 4:14:35 PM, 494354442D5331342D545241592D3341,                   0,    -190,       2
   17/11/2014 4:14:35 PM, 494354442D5331342D545241592D3342,                 -34,    -145,       4
   17/11/2014 4:14:35 PM, 494354442D5331342D545241592D3542,                  71,     -97,       5
   17/11/2014 4:14:35 PM, 494354442D5331342D545241592D3642,                 -93,     -96,      10
   17/11/2014 4:14:39 PM, 494354442D5331342D545241592D3641,                   0,    -127,       1
   17/11/2014 4:14:40 PM, 494354442D5331342D545241592D3141,                   4,     -94,      46
   17/11/2014 4:14:40 PM, 494354442D5331342D545241592D3142,                 -27,    -103,      42
   17/11/2014 4:14:40 PM, 494354442D5331342D545241592D3241,                   0,     -64,       1
   17/11/2014 4:14:40 PM, 494354442D5331342D545241592D3242,                  33,     -43,      43
   17/11/2014 4:14:40 PM, 494354442D5331342D545241592D3341,                   0,    -148,       3
   17/11/2014 4:14:40 PM, 494354442D5331342D545241592D3342,                 -34,    -145,       4
   17/11/2014 4:14:40 PM, 494354442D5331342D545241592D3542,                  78,     -95,       8
   17/11/2014 4:14:40 PM, 494354442D5331342D545241592D3641,                   0,    -127,       1
   17/11/2014 4:14:40 PM, 494354442D5331342D545241592D3642,                 -60,     -91,      20
   17/11/2014 4:14:45 PM, 494354442D5331342D545241592D3141,                  -3,    -101,      51
   17/11/2014 4:14:45 PM, 494354442D5331342D545241592D3142,                 -23,    -102,      47
   17/11/2014 4:14:45 PM, 494354442D5331342D545241592D3241,                   0,     -64,       1
   17/11/2014 4:14:45 PM, 494354442D5331342D545241592D3242,                  29,     -52,      54
   17/11/2014 4:14:45 PM, 494354442D5331342D545241592D3341,                  16,    -126,      11
   17/11/2014 4:14:45 PM, 494354442D5331342D545241592D3342,                 -68,    -163,       2
   17/11/2014 4:14:45 PM, 494354442D5331342D545241592D3542,                  62,    -127,      10
   17/11/2014 4:14:45 PM, 494354442D5331342D545241592D3641,                   0,    -127,       3
   17/11/2014 4:14:45 PM, 494354442D5331342D545241592D3642,                 -72,     -92,      29
   17/11/2014 4:14:50 PM, 494354442D5331342D545241592D3141,                  -5,    -109,      52
   17/11/2014 4:14:50 PM, 494354442D5331342D545241592D3142,                 -21,    -100,      45
   17/11/2014 4:14:50 PM, 494354442D5331342D545241592D3241,                   0,     -64,       1
   17/11/2014 4:14:50 PM, 494354442D5331342D545241592D3242,                  34,     -59,      61
   17/11/2014 4:14:50 PM, 494354442D5331342D545241592D3341,                   2,    -147,      16
   17/11/2014 4:14:50 PM, 494354442D5331342D545241592D3342,                 -34,    -177,       4
